"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:16:51.599,""2024-06-15 12:17:21.28"",47.668236,8.984733,295.82,0.01815997,295.82,-0.73,-0.26,13,0.8657,64,3.902,-0.4009,-247.1"
"2024-06-15 12:16:52.599,""2024-06-15 12:17:21.28"",47.668236,8.984733,295.82,0.01860194,295.82,-0.73,-0.29,13,0.8496,64,3.902,-0.3989,-247.1"
"2024-06-15 12:16:53.599,""2024-06-15 12:17:21.281"",47.668236,8.984733,295.82,0.02628261,295.82,-0.75,-0.27,13,0.835,64,3.902,-0.4009,-247.1"
"2024-06-15 12:16:54.599,""2024-06-15 12:17:21.281"",47.668236,8.984733,295.82,0.01534793,295.82,-0.75,-0.27,14,0.8188,64,3.902,-0.397,-247.1"
"2024-06-15 12:16:55.599,""2024-06-15 12:17:21.281"",47.668236,8.984733,295.82,0.02963283,295.82,-0.77,-0.24,14,0.8027,64,3.902,-0.397,-247.1"
"2024-06-15 12:16:56.599,""2024-06-15 12:17:21.281"",47.668236,8.984733,295.82,0.0172024,295.82,-0.77,-0.26,14,0.7876,64,3.902,-0.3938,-247.1"
"2024-06-15 12:16:57.599,""2024-06-15 12:17:21.282"",47.668236,8.984733,295.82,0.01902421,295.82,-0.75,-0.27,14,0.7739,64,3.9,-0.3899,-246.1"
"2024-06-15 12:16:58.599,""2024-06-15 12:17:21.282"",47.668237,8.984734,295.82,0.0148101,295.82,-0.77,-0.27,14,0.7607,64,3.9,-0.3828,-246.1"
"2024-06-15 12:16:59.599,""2024-06-15 12:17:21.282"",47.668237,8.984734,295.82,0.01725716,295.82,-0.77,-0.31,14,0.75,64,3.9,-0.3789,-246.1"
"2024-06-15 12:17:00.599,""2024-06-15 12:17:21.282"",47.668237,8.984734,295.82,0.02825104,295.82,-0.76,-0.29,14,0.7388,64,3.9,-0.3828,-246.1"
"2024-06-15 12:17:01.599,""2024-06-15 12:17:21.282"",47.668237,8.984734,295.82,0.02412954,295.82,-0.76,-0.29,14,0.7285,64,3.9,-0.3948,-246.1"
"2024-06-15 12:17:02.599,""2024-06-15 12:17:21.283"",47.668237,8.984734,295.82,0.02109775,295.82,-0.75,-0.29,14,0.7197,64,3.9,-0.4038,-246.1"
"2024-06-15 12:17:03.599,""2024-06-15 12:17:21.283"",47.668237,8.984734,295.82,0.02262679,295.82,-0.74,-0.27,14,0.7109,64,3.9,-0.4128,-246.1"
"2024-06-15 12:17:04.599,""2024-06-15 12:17:21.283"",47.668237,8.984734,295.82,0.01654144,295.82,-0.73,-0.27,14,0.7026,64,3.898,-0.4189,-246.1"
"2024-06-15 12:17:05.599,""2024-06-15 12:17:21.283"",47.668237,8.984734,295.82,0.01205616,295.82,-0.75,-0.3,14,0.6948,64,3.898,-0.417,-246.1"
