servertime;latitude;longitude;"""HDT - Heading True""";SOG in m/s;SOG in Knoten;"""COG - Course over Ground""";Heel;"""Trim Fore / Aft""";"""GPS Satellites""";"""GPS HAcc""";"""Battery Charge""";"""Battery 1 Voltage""";"""Battery 1 Current""";"""Battery 1 Temperature""";;;;;
"""2024-04-14 10:59:03.247""";47.664356;8.976704;2.24;0.04417695;0.088088838;0.59;-94.72;-35.81;15;1.588;97;4.18;-0.3098;-242.1;;;;;
"""2024-04-14 13:37:58.412""";47.66588;8.969908;339.1;3.988529;7.953126826;0.6;84.25;8.34;16;0.4429;73;3.967;-0.387;-231.1;;;;;
"""2024-04-14 13:38:02.192""";47.665977;8.96991;339.64;3.573929;7.126414426;0.6;88.38;8.48;16;0.4438;73;3.967;-0.3838;-231.1;;;;;
"""2024-04-14 12:38:19.606""";47.669183;8.9733;334.6;5.840875;11.64670475;0.62;89.44;19.87;16;0.3579;82;4.043;-0.3499;-231.1;;;;;
"""2024-04-14 12:29:14.123""";47.664296;8.960467;333.64;5.077728;10.12498963;0.63;82.85;20.18;16;0.3989;84;4.055;-0.3909;-232.1;;;;;
"""2024-04-14 12:34:05.889""";47.665435;8.965155;333.52;5.370679;10.70913393;0.63;86.96;20.95;16;0.334;83;4.051;-0.3208;-232.1;;;;;
"""2024-04-14 12:34:41.443""";47.665397;8.966945;336.98;3.682305;7.34251617;0.63;91.31;22.63;16;0.3259;83;4.047;-0.365;-232.1;;;;;
"""2024-04-14 12:36:25.118""";47.666959;8.969858;331.04;4.900511;9.771618934;0.63;89.31;23.5;16;0.3508;83;4.043;-0.3699;-231.1;;;;;
"""2024-04-14 12:07:35.56""";47.664496;8.964082;327.97;3.509921;6.998782474;0.68;85.68;23.24;16;0.4729;89;4.098;-0.3418;-235.1;;;;;
"""2024-04-14 13:09:47.705""";47.659724;8.951323;330.59;5.630054;11.22632768;0.7;90.99;15.84;16;0.3269;77;4.004;-0.397;-232.1;;;;;
"""2024-04-14 13:36:22.618""";47.664435;8.966306;336.17;6.247715;12.45794371;0.7;82.51;6.66;16;0.449;73;3.973;-0.3279;-232.1;;;;;
"""2024-04-14 14:36:13.131""";47.664348;8.9767;359.43;0.2485716;0.49565177;0.7;144.13;-10.21;14;0.5029;64;3.904;-0.366;-223.1;;;;;
"""2024-04-14 12:07:35.179""";47.664162;8.960194;336.13;5.337936;10.64384438;0.77;73.31;15.95;16;0.6138;90;4.102;-0.3628;-236.1;;;;;
"""2024-04-14 12:07:36.616""";47.666556;8.968717;332.12;5.787439;11.54015337;0.79;84.16;20.83;16;0.6167;89;4.094;-0.3608;-233.1;;;;;
"""2024-04-14 12:07:36.669""";47.667206;8.970089;332.21;5.446511;10.86034293;0.81;84.59;23.05;16;0.5479;89;4.094;-0.3608;-233.1;;;;;
"""2024-04-14 12:33:19.232""";47.664462;8.963096;332.38;4.259883;8.494206702;0.82;85.65;22.15;16;0.345;83;4.051;-0.3408;-232.1;;;;;
"""2024-04-14 12:35:47.137""";47.666135;8.966974;333.74;5.168308;10.30560615;0.82;89.38;21.95;16;0.3079;83;4.047;-0.3069;-231.1;;;;;
"""2024-04-14 13:09:47.524""";47.659436;8.951305;336.91;5.703454;11.37268728;0.83;79.47;10.53;16;0.3318;77;4.004;-0.4268;-232.1;;;;;
"""2024-04-14 11:25:41.098""";47.665307;8.978201;322.88;0.8091789;1.613502727;0.85;85.75;19.34;15;0.5908;94;4.141;-0.3169;-236.1;;;;;
"""2024-04-14 12:07:36.614""";47.666134;8.968706;330.08;6.118879;12.20104473;0.85;79.7;20.03;16;0.564;89;4.094;-0.3528;-234.1;;;;;
"""2024-04-14 12:29:13.115""";47.66425;8.960464;333.06;5.184962;10.33881423;0.85;84.39;21.36;16;0.3989;84;4.055;-0.397;-232.1;;;;;
"""2024-04-14 12:38:19.606""";47.669078;8.973295;332.35;6.036619;12.03701829;0.87;85.75;20.37;16;0.355;82;4.043;-0.345;-231.1;;;;;
"""2024-04-14 12:33:20.599""";47.664095;8.965066;336.48;3.417451;6.814397294;0.88;83.84;21.49;16;0.355;83;4.051;-0.377;-232.1;;;;;
"""2024-04-14 12:34:05.888""";47.665059;8.965174;334.84;5.110492;10.19032105;0.88;88.27;21.49;16;0.335;83;4.051;-0.3359;-232.1;;;;;
"""2024-04-14 13:53:34.063""";47.667129;8.962814;339.19;5.294108;10.55645135;0.88;85.32;9.59;15;0.6558;71;3.949;-0.3799;-231.1;;;;;
"""2024-04-14 13:13:37.951""";47.662647;8.958266;332.96;4.150488;8.276073072;0.89;89.55;15.26;16;0.3689;77;4;-0.3499;-231.1;;;;;
"""2024-04-14 11:24:44.075""";47.664934;8.977879;0.91;0.4305303;0.858477418;0.91;91.62;22.26;14;0.6348;94;4.141;-0.314;-236.1;;;;;
"""2024-04-14 12:40:28.421""";47.670909;8.977279;331.41;5.347987;10.66388608;0.92;85.95;22.13;15;0.3899;82;4.039;-0.344;-231.1;;;;;
"""2024-04-14 13:38:03.156""";47.666046;8.969912;335.83;3.872391;7.721547654;0.93;88.09;7.19;16;0.448;73;3.967;-0.3818;-231.1;;;;;
